"","X","ResponseID","ResponseSet","Name","ExternalDataReference","EmailAddress","IPAddress","Status","StartDate","EndDate","Finished","mTurkCode","gender","age","ethnicity","work.when.not.encouraged","resentful","given.up","rebel","good.listener","took.advantage","admit.mistake","get.even","courteous","ideas.different.from.own","jealous.of.others","irritated.by.favors","hurt.someones.feelings","weight","height","household.size","annual.income","exercise","LocationLatitude","LocationLongitude","LocationAccuracy","income","annualincome","bmi","recepie","measurement","MealStyle","TreatMent"
"17",32,"R_3PUe6KAlH5Ca9nm","Default Response Set","Anonymous",NA,NA,"66.87.151.50",0,"8/2/2015 20:42","8/2/2015 20:45",1,43137283,"Female",28,"White",1,1,0,1,1,1,0,0,1,0,1,1,0,125,64,"2-3",54000,"Once or twice a week","39,67170715","-104,9271011",-1,54000,54000,21.97265625,"Guiltless.Asian.Glazed.Chicken.Thighs",-14,"Asian","Guiltless"
"18",35,"R_UPYdk18QkWiIqGJ","Default Response Set","Anonymous",NA,NA,"99.43.85.48",0,"8/2/2015 20:44","8/2/2015 20:48",1,69593632,"Male",51,"Asian/Pacific Islander",1,1,0,1,1,1,1,1,1,0,1,1,0,185,70,"1",17500,"Once or twice a week","34,11250305","-118,1907959",-1,17500,17500,27.1836734693878,"Guiltless.Asian.Glazed.Chicken.Thighs",-14,"Asian","Guiltless"
"19",37,"R_31zpuo83oNqj1uv","Default Response Set","Anonymous",NA,NA,"70.189.34.122",0,"8/2/2015 20:45","8/2/2015 20:48",1,27894772,"Male",30,"White",1,1,0,0,NA,0,NA,0,1,0,1,1,0,105,66,"4-5",40000,"Once or twice a week","29,957901","-91,87210083",-1,40000,40000,17.3553719008264,"Guiltless.Asian.Glazed.Chicken.Thighs",-10,"Asian","Guiltless"
"20",38,"R_d6bHqk9zkDOdIhr","Default Response Set","Anonymous",NA,NA,"24.147.163.10",0,"8/2/2015 20:48","8/2/2015 20:50",1,487469,"Male",33,"Asian/Pacific Islander",1,0,0,1,1,0,1,0,1,1,0,1,1,130,69,"2-3",98000,"Once or twice a week","42,73240662","-71,186203",-1,98000,98000,19.6597353497164,"Guiltless.Asian.Glazed.Chicken.Thighs",-9,"Asian","Guiltless"
"21",40,"R_1IyCj1S1bL9VwPM","Default Response Set","Anonymous",NA,NA,"98.115.7.102",0,"8/2/2015 20:52","8/2/2015 20:55",1,63126957,"Female",24,"White",2,1,0,1,0,1,1,0,1,0,0,0,0,105,62,"2-3",48000,"Several Times a week","39,18170166","-75,5970993",-1,48000,48000,19.6670135275754,"Guiltless.Asian.Glazed.Chicken.Thighs",-11,"Asian","Guiltless"
"22",42,"R_XFDMAmiFmXMpKb7","Default Response Set","Anonymous",NA,NA,"71.42.81.188",0,"8/2/2015 20:56","8/2/2015 20:58",1,77907911,"Female",55,"White",2,1,1,0,0,1,0,0,0,0,1,1,0,140,67,"2-3",65000,"Never","30,26719666","-97,74310303",-1,65000,65000,22.4548897304522,"Guiltless.Asian.Glazed.Chicken.Thighs",-11,"Asian","Guiltless"
"23",45,"R_ylmLIx3CF6el3Hj","Default Response Set","Anonymous",NA,NA,"160.3.51.12",0,"8/2/2015 21:04","8/2/2015 21:06",1,90931479,"Male",31,"White",2,0,0,0,1,0,1,1,1,1,0,0,0,230,72,"2-3",70000,"Several Times a week","34,61819458","-99,27320099",-1,70000,70000,31.9444444444444,"Guiltless.Asian.Glazed.Chicken.Thighs",-14,"Asian","Guiltless"
"24",47,"R_5t0nVtOV8OfCqbL","Default Response Set","Anonymous",NA,NA,"96.40.195.227",0,"8/2/2015 21:03","8/2/2015 21:07",1,30626315,"Male",33,"Asian/Pacific Islander",2,0,0,0,0,1,1,0,1,1,0,0,0,135,68,"2-3",104000,"Several Times a week","38,59739685","-90,00710297",-1,104000,104000,21.0207612456747,"Guiltless.Asian.Glazed.Chicken.Thighs",-13,"Asian","Guiltless"
"25",53,"R_1hEapK7eSXYUe9U","Default Response Set","Anonymous",NA,NA,"216.49.148.67",0,"8/2/2015 21:19","8/2/2015 21:21",1,89959291,"Female",41,"White",2,1,0,0,0,0,0,1,1,0,1,1,1,150,66,"4-5",150000,"Several Times a week","42,28649902","-71,71469879",-1,150000,150000,24.7933884297521,"Guiltless.Asian.Glazed.Chicken.Thighs",-13,"Asian","Guiltless"
"26",54,"R_1FtbbcyLvEtRcAk","Default Response Set","Anonymous",NA,NA,"99.132.233.251",0,"8/2/2015 21:18","8/2/2015 21:22",1,40176361,"Male",61,"White",1,1,1,0,0,1,0,1,0,0,1,1,1,216,66,"2-3",70000,"Once or twice a week","41,603302","-87,75469971",-1,70000,70000,35.702479338843,"Guiltless.Asian.Glazed.Chicken.Thighs",-15,"Asian","Guiltless"
"27",56,"R_D7Z67vxqsYWfTbj","Default Response Set","Anonymous",NA,NA,"73.175.244.129",0,"8/2/2015 20:55","8/2/2015 21:30",1,53769339,"Female",68,"White",2,1,1,1,0,0,1,0,0,1,0,0,0,200,64,"6+",1e+05,"Less often than once a month","40,24549866","-77,02269745",-1,100000,100000,35.15625,"Guiltless.Asian.Glazed.Chicken.Thighs",-9,"Asian","Guiltless"
"28",57,"R_WoCpz4DCXv35sNb","Default Response Set","Anonymous",NA,NA,"107.107.60.163",0,"8/2/2015 21:30","8/2/2015 21:33",1,55977621,"Male",45,"White",1,1,1,0,0,1,1,1,0,0,1,1,0,225,60,"4-5",3e+05,"Several Times a week","40,72819519","-74,07759857",-1,300000,300000,45,"Guiltless.Asian.Glazed.Chicken.Thighs",-13,"Asian","Guiltless"
"29",60,"R_xxyiLjURdKPCo3D","Default Response Set","Anonymous",NA,NA,"76.102.149.147",0,"8/2/2015 21:35","8/2/2015 21:37",1,45517326,"Male",30,"Other",1,0,1,1,1,1,1,1,1,0,0,0,1,145,65,"1",140000,"Once or twice a week","37,42489624","-122,0074005",-1,140000,140000,24.7100591715976,"Guiltless.Asian.Glazed.Chicken.Thighs",-11,"Asian","Guiltless"
"30",62,"R_2zJiRcLXlBwPoJy","Default Response Set","Anonymous",NA,NA,"73.15.176.149",0,"8/2/2015 21:45","8/2/2015 21:48",1,41661126,"Male",24,"Asian/Pacific Islander",1,0,0,0,1,1,1,1,1,0,1,1,0,162,71,"1",110000,"Several Times a week","37,3697052","-122,0214005",-1,110000,110000,23.1382662170204,"Guiltless.Asian.Glazed.Chicken.Thighs",-10,"Asian","Guiltless"
"31",64,"R_3FQy40MFoRSONqw","Default Response Set","Anonymous",NA,NA,"216.195.23.35",0,"8/2/2015 22:00","8/2/2015 22:04",1,57405843,NA,39,"White",2,1,0,1,1,1,0,1,0,0,0,0,0,185,68,"4-5",58000,"Several Times a week","42,28649902","-71,71469879",-1,58000,58000,28.8062283737024,"Guiltless.Asian.Glazed.Chicken.Thighs",-13,"Asian","Guiltless"
"32",65,"R_1Eb6KdHFiDtwful","Default Response Set","Anonymous",NA,NA,"50.179.4.158",0,"8/2/2015 22:03","8/2/2015 22:06",1,59022298,"Female",28,"White",2,0,1,0,1,0,0,0,1,0,1,0,0,171,67,"1",75000,"Several Times a week","41,87840271","-87,68520355",-1,75000,75000,27.4270438850524,"Guiltless.Asian.Glazed.Chicken.Thighs",-11,"Asian","Guiltless"
"33",66,"R_2CrhMEeNGiURZjc","Default Response Set","Anonymous",NA,NA,"50.148.128.52",0,"8/2/2015 22:05","8/2/2015 22:07",1,26395605,"Female",33,"Asian/Pacific Islander",2,0,0,0,1,0,1,1,1,1,0,1,0,119,64,"2-3",NA,"Several Times a week","37,35369873","-122,0307007",-1,NA,NA,20.91796875,"Guiltless.Asian.Glazed.Chicken.Thighs",-15,"Asian","Guiltless"
"34",67,"R_2fp1mY9Wc8uxnp1","Default Response Set","Anonymous",NA,NA,"108.51.147.221",0,"8/2/2015 22:05","8/2/2015 22:10",1,23472927,"Male",42,"White",1,1,1,0,1,1,0,0,0,0,1,0,0,155,68,"4-5",80000,"Once or twice a week","38,88650513","-77,09690094",-1,80000,80000,24.1349480968858,"Guiltless.Asian.Glazed.Chicken.Thighs",-12,"Asian","Guiltless"
"35",69,"R_TubAD3R8HecuIw1","Default Response Set","Anonymous",NA,NA,"50.4.129.36",0,"8/2/2015 22:23","8/2/2015 22:26",1,90038272,"Female",28,"White",1,1,1,1,0,1,0,0,1,0,1,1,0,115,65,"2-3",50000,"Once or twice a week","41,603302","-87,75469971",-1,50000,50000,19.5976331360947,"Guiltless.Asian.Glazed.Chicken.Thighs",-13,"Asian","Guiltless"
"36",70,"R_1GTikQ0lNOtqwJ2","Default Response Set","Anonymous",NA,NA,"50.172.45.228",0,"8/2/2015 22:27","8/2/2015 22:31",1,43733712,"Male",29,"Asian/Pacific Islander",2,0,1,0,1,0,1,0,1,0,0,1,1,190,68,"2-3",75000,"Once or twice a month","39,61759949","-86,17710114",-1,75000,75000,29.5847750865052,"Guiltless.Asian.Glazed.Chicken.Thighs",-14,"Asian","Guiltless"
"37",73,"R_3qdOrtI1JOP91Am","Default Response Set","Anonymous",NA,NA,"96.227.128.216",0,"8/2/2015 22:46","8/2/2015 22:52",1,4032181,"Female",39,"Asian/Pacific Islander",1,1,0,0,0,1,1,1,1,0,0,1,0,160,62,"4-5",175000,"Once or twice a month","40,16560364","-74,82189941",-1,175000,175000,29.9687825182102,"Guiltless.Asian.Glazed.Chicken.Thighs",-9,"Asian","Guiltless"
"38",76,"R_20ZLq2umjKdViBK","Default Response Set","Anonymous",NA,NA,"66.44.118.6",0,"8/2/2015 23:01","8/2/2015 23:03",1,68268672,"Male",25,"White",1,1,0,0,0,1,0,1,0,0,0,1,0,200,74,"2-3",9e+05,"Several Times a week","38,95199585","-77,01999664",-1,900000,900000,26.2965668371074,"Guiltless.Asian.Glazed.Chicken.Thighs",-12,"Asian","Guiltless"
"39",77,"R_2Cjg7IYqDQRe5ry","Default Response Set","Anonymous",NA,NA,"50.190.129.72",0,"8/2/2015 22:57","8/2/2015 23:03",1,74880681,"Female",28,"White",1,1,0,0,0,0,0,0,0,0,0,0,1,180,NA,"2-3",35000,"Several Times a week","39,15879822","-75,49410248",-1,35000,35000,NA,"Guiltless.Asian.Glazed.Chicken.Thighs",-14,"Asian","Guiltless"
"40",82,"R_vwPnjXNSEdqQISt","Default Response Set","Anonymous",NA,NA,"73.208.91.64",0,"8/2/2015 23:22","8/2/2015 23:26",1,32908632,"Female",28,"White",1,1,1,1,0,1,0,1,0,0,1,1,0,160,66,"2-3",60000,"Several Times a week","41,56959534","-87,79940033",-1,60000,60000,26.4462809917355,"Guiltless.Asian.Glazed.Chicken.Thighs",-14,"Asian","Guiltless"
"41",83,"R_3DvVKdzjBRrGC8X","Default Response Set","Anonymous",NA,NA,"209.6.132.153",0,"8/2/2015 23:35","8/2/2015 23:38",1,57915284,"Male",26,"White",2,1,0,0,0,1,0,0,0,0,0,1,0,150,69,"2-3",1e+05,"Several Times a week","42,34309387","-71,1230011",-1,100000,100000,22.6843100189036,"Guiltless.Asian.Glazed.Chicken.Thighs",-15,"Asian","Guiltless"
"42",86,"R_2eXrUZgGlMKsc6R","Default Response Set","Anonymous",NA,NA,"24.90.221.239",0,"8/2/2015 23:51","8/2/2015 23:54",1,90753906,"Female",34,"Hispanic or Latino",1,1,1,0,0,1,0,1,1,0,1,1,0,128,67,"1",47000,"Less often than once a month","40,74000549","-73,93609619",-1,47000,47000,20.5301848964135,"Guiltless.Asian.Glazed.Chicken.Thighs",-11,"Asian","Guiltless"
"43",88,"R_1Ojknk9RvhVz1mF","Default Response Set","Anonymous",NA,NA,"104.190.24.174",0,"8/3/2015 0:42","8/3/2015 0:47",1,68711217,"Male",40,"Other",2,1,0,1,1,1,1,1,1,1,1,1,1,190,74,"4-5",95000,"Several Times a week","29,68069458","-95,43109894",-1,95000,95000,24.981738495252,"Guiltless.Asian.Glazed.Chicken.Thighs",-15,"Asian","Guiltless"
"44",91,"R_22P2iG1aEpmfdZd","Default Response Set","Anonymous",NA,NA,"24.6.182.230",0,"8/3/2015 1:00","8/3/2015 1:04",1,89486745,"Female",36,"White",2,1,1,1,0,0,1,1,0,1,1,1,0,234,66,"2-3",NA,"Once or twice a week","37,35009766","-121,9853973",-1,1,1,38.6776859504132,"Guiltless.Asian.Glazed.Chicken.Thighs",-12,"Asian","Guiltless"
"45",92,"R_2ygsSwGSlbqZpND","Default Response Set","Anonymous",NA,NA,"216.51.162.137",0,"8/3/2015 1:05","8/3/2015 1:11",1,88045568,"Female",29,"White",2,0,0,0,0,1,1,1,0,0,0,0,0,170,73,"1",1e+05,"Several Times a week","41,88450623","-95,06340027",-1,100000,100000,22.9686620379058,"Guiltless.Asian.Glazed.Chicken.Thighs",-14,"Asian","Guiltless"
"46",95,"R_3iVTHZyr9XfgypD","Default Response Set","Anonymous",NA,NA,"70.199.173.62",0,"8/3/2015 1:40","8/3/2015 1:44",1,54838830,"Female",28,"White",2,1,0,1,0,1,0,1,0,0,0,1,0,120,65,"2-3",60000,"Several Times a week","47,61039734","-122,2006989",-1,60000,60000,20.4497041420118,"Guiltless.Asian.Glazed.Chicken.Thighs",-11,"Asian","Guiltless"
"47",96,"R_3s4kv2F7SDyZQjd","Default Response Set","Anonymous",NA,NA,"76.218.65.75",0,"8/3/2015 1:54","8/3/2015 1:58",1,77459972,"Male",38,"Asian/Pacific Islander",1,1,1,1,0,1,1,0,1,1,1,1,1,208,68,"6+",90000,"Once or twice a week","37,63929749","-122,0442047",-1,90000,90000,32.3875432525952,"Guiltless.Asian.Glazed.Chicken.Thighs",-10,"Asian","Guiltless"
"48",98,"R_3Hvu6yIn14xTGMV","Default Response Set","Anonymous",NA,NA,"70.210.136.161",0,"8/3/2015 2:13","8/3/2015 2:18",1,58501390,"Male",24,"White",2,0,0,0,0,0,0,0,1,0,1,1,1,200,73,"1",30000,"Once or twice a week","45,4980011","-122,7783966",-1,30000,30000,27.0219553387127,"Guiltless.Asian.Glazed.Chicken.Thighs",-11,"Asian","Guiltless"
"49",99,"R_3nGzmhabNQtyfEt","Default Response Set","Anonymous",NA,NA,"99.111.1.10",0,"8/3/2015 5:17","8/3/2015 5:22",1,7343049,"Male",29,"White",2,0,0,0,1,1,1,0,1,0,1,0,0,165,68,"2-3",90000,"Once or twice a week","41,603302","-87,75469971",-1,90000,90000,25.6920415224913,"Guiltless.Asian.Glazed.Chicken.Thighs",-11,"Asian","Guiltless"
"50",100,"R_ZdEybqRkCFbdPnX","Default Response Set","Anonymous",NA,NA,"108.2.106.10",0,"8/3/2015 7:26","8/3/2015 7:28",1,50540923,"Male",28,"White",2,0,0,0,1,0,1,0,1,1,1,0,0,185,73,"1",60000,"Several Times a week","39,18170166","-75,5970993",-1,60000,60000,24.9953086883092,"Guiltless.Asian.Glazed.Chicken.Thighs",-11,"Asian","Guiltless"
"51",103,"R_Xp4wwLrjCm5Z0Yh","Default Response Set","Anonymous",NA,NA,"108.2.67.123",0,"8/3/2015 10:05","8/3/2015 10:07",1,8630431,"Male",30,"White",1,1,1,1,0,1,1,0,0,0,1,1,1,160,65,"1",85000,"Several Times a week","39,47569275","-75,67240143",-1,85000,85000,27.2662721893491,"Guiltless.Asian.Glazed.Chicken.Thighs",-11,"Asian","Guiltless"
"52",104,"R_zT2kcEiFb9HMFGx","Default Response Set","Anonymous",NA,NA,"96.49.177.71",0,"8/3/2015 10:34","8/3/2015 10:38",1,75597070,"Female",32,"Hispanic or Latino",2,0,0,1,1,0,0,1,1,1,0,1,0,135,60,"2-3",85000,"Several Times a week","49,25","-122,9499969",-1,85000,85000,27,"Guiltless.Asian.Glazed.Chicken.Thighs",-14,"Asian","Guiltless"
"53",105,"R_9sjDGJ2kLvWBZsJ","Default Response Set","Anonymous",NA,NA,"69.47.41.110",0,"8/3/2015 12:14","8/3/2015 12:17",1,83641398,"Male",30,"White",2,1,0,0,0,0,1,1,1,0,0,1,0,210,72,"2-3",65000,"Once or twice a week","41,603302","-87,75469971",-1,65000,65000,29.1666666666667,"Guiltless.Asian.Glazed.Chicken.Thighs",-10,"Asian","Guiltless"
"54",107,"R_23TEfFEIjR6ewnv","Default Response Set","Anonymous",NA,NA,"70.192.139.40",0,"8/3/2015 12:17","8/3/2015 12:25",1,74938829,"Female",52,"White",1,1,0,0,1,0,1,0,1,0,0,0,1,176,66,"6+",35000,"Once or twice a week","40,00340271","-75,248703",-1,35000,35000,29.0909090909091,"Guiltless.Asian.Glazed.Chicken.Thighs",-10,"Asian","Guiltless"
"55",108,"R_1OU0Up06KN7uiVj","Default Response Set","Anonymous",NA,NA,"73.22.44.253",0,"8/3/2015 13:29","8/3/2015 13:33",1,36420188,"Female",27,"White",2,1,0,0,0,0,1,0,1,0,1,1,1,145,65,"2-3",54000,"Once or twice a week","41,61630249","-87,83709717",-1,54000,54000,24.7100591715976,"Guiltless.Asian.Glazed.Chicken.Thighs",-10,"Asian","Guiltless"
"56",110,"R_3jdFkGb9mhc2Yac","Default Response Set","Anonymous",NA,NA,"192.55.55.39",0,"8/3/2015 17:06","8/3/2015 17:10",1,56188412,"Male",27,"Other",1,1,0,0,1,0,0,1,1,0,1,1,1,143,71,"1",1e+05,"Several Times a week","45,58479309","-122,9116974",-1,100000,100000,20.4245189446538,"Guiltless.Asian.Glazed.Chicken.Thighs",-15,"Asian","Guiltless"
"57",111,"R_1jO3cTXWenPzNFr","Default Response Set","Anonymous",NA,NA,"69.253.171.9",0,"8/3/2015 17:16","8/3/2015 17:20",1,33636356,"Female",42,"White",1,0,1,0,0,0,1,0,1,0,1,1,0,140,64,"4-5",120000,"Less often than once a month","40,10299683","-74,9414978",-1,120000,120000,24.609375,"Guiltless.Asian.Glazed.Chicken.Thighs",-10,"Asian","Guiltless"
"58",112,"R_3niWfeBANSSyacF","Default Response Set","Anonymous",NA,NA,"67.247.135.75",0,"8/3/2015 9:01","8/3/2015 17:20",1,15932187,"Female",41,"White",2,1,0,0,1,1,0,0,0,0,1,1,0,125,64,"2-3",80000,"Once or twice a week","43,11540222","-77,55760193",-1,80000,80000,21.97265625,"Guiltless.Asian.Glazed.Chicken.Thighs",-13,"Asian","Guiltless"
"59",114,"R_5pRboLbNYQ5VTVf","Default Response Set","Anonymous",NA,NA,"69.204.44.253",0,"8/4/2015 17:17","8/4/2015 17:20",1,18088340,"Female",14,"White",1,1,1,0,1,0,1,0,1,0,1,0,0,130,65,"4-5",NA,"Once or twice a week","42,97619629","-78,79470062",-1,NA,NA,22.1538461538462,"Guiltless.Asian.Glazed.Chicken.Thighs",-9,"Asian","Guiltless"
"60",116,"R_2TF3foZ48UbiKwX","Default Response Set","Anonymous",NA,NA,"98.111.253.135",0,"8/6/2015 16:38","8/6/2015 16:40",1,66502395,"Female",22,"Black or African American",2,0,0,1,1,1,1,0,1,1,1,1,1,140,67,"2-3",13000,"Once or twice a week","40,40510559","-80,03520203",-1,13000,13000,22.4548897304522,"Guiltless.Asian.Glazed.Chicken.Thighs",-10,"Asian","Guiltless"
"61",118,"R_VQmHqBHm0amDCbn","Default Response Set","Anonymous",NA,NA,"75.181.41.174",0,"8/6/2015 16:38","8/6/2015 16:40",1,57736005,"Male",25,"White",2,1,0,1,1,0,1,0,1,0,1,0,0,175,71,"2-3",39000,"Once or twice a week","35,12319946","-80,93430328",-1,39000,39000,24.9950406665344,"Guiltless.Asian.Glazed.Chicken.Thighs",-11,"Asian","Guiltless"
"62",121,"R_3F26hIwVgMuwLdl","Default Response Set","Anonymous",NA,NA,"172.73.117.234",0,"8/6/2015 16:39","8/6/2015 16:41",1,12681265,"Male",36,"White",1,1,0,1,0,1,1,0,1,1,1,1,0,180,71,"2-3",38000,"Several Times a week","35,36250305","-81,57409668",-1,38000,38000,25.7091846855783,"Guiltless.Asian.Glazed.Chicken.Thighs",-11,"Asian","Guiltless"
"63",123,"R_2R4HkXyBbegWrAo","Default Response Set","Anonymous",NA,NA,"192.111.74.84",0,"8/6/2015 16:41","8/6/2015 16:43",1,86284299,"Female",51,"White",1,1,1,1,0,0,1,0,0,1,0,0,0,110,62,"1",30000,"Several Times a week","35,1289978","-85,38410187",-1,30000,30000,20.6035379812695,"Guiltless.Asian.Glazed.Chicken.Thighs",-14,"Asian","Guiltless"
"64",124,"R_Z3vGkWSDyOHD7ZD","Default Response Set","Anonymous",NA,NA,"68.64.114.29",0,"8/6/2015 16:42","8/6/2015 16:44",1,93763052,"Male",25,"White",2,1,1,0,1,1,1,0,1,0,1,1,0,180,65,"2-3",20000,"Never","37,33540344","-82,95659637",-1,20000,20000,30.6745562130178,"Guiltless.Asian.Glazed.Chicken.Thighs",-15,"Asian","Guiltless"
